Price,Date,Postcode,Year
1350000,2016-04-11,SE5 9LP,2016
255000,2016-03-31,SE6 3AS,2016
360000,2016-03-24,RM10 8AU,2016
265000,2016-03-31,SW16 1DG,2016
525000,2016-03-23,SE8 3BU,2016
813400,2016-04-08,SE3 9BU,2016
950000,2016-03-31,SE4 2DZ,2016
920000,2016-03-22,TW1 2LT,2016
590000,2016-04-14,SW18 1GS,2016
548500,2016-03-31,SE13 7PW,2016
525000,2016-04-25,E16 1GW,2016
655000,2016-03-31,SW18 2HT,2016
480000,2016-04-20,TW2 5DA,2016
420000,2016-04-22,SW15 5LS,2016
375000,2016-03-18,SE16 4JD,2016
545000,2016-04-19,SE13 6NS,2016
580000,2016-04-15,SW18 1GS,2016
800000,2016-07-04,SE1 1HL,2016
1050000,2016-07-29,SW12 9PJ,2016
365000,2016-07-22,E15 3FA,2016
245000,2016-07-22,E15 3FA,2016
765000,2016-08-10,SE1 6FB,2016
425000,2016-08-04,SE1 6FB,2016
199995,2016-05-16,RM8 1EH,2016
423500,2016-08-04,SE1 6FB,2016
680000,2016-08-08,SW15 2DD,2016
610000,2016-07-19,SE1 6FB,2016
525925,2016-07-21,SE1 6FB,2016
631825,2016-07-14,SE1 6FB,2016
375000,2016-08-11,SE14 5TT,2016
1350000,2016-07-22,SW14 8HQ,2016
220000,2016-08-16,E15 3FA,2016
385000,2016-06-30,RM8 1FE,2016
307000,2016-06-30,RM8 1FF,2016
385000,2016-06-29,RM8 1EL,2016
307000,2016-06-30,RM8 1FF,2016
307000,2016-06-30,RM8 1FF,2016
240000,2016-03-31,RM8 1EH,2016
419350,2016-02-05,SW11 7AR,2016
560000,2016-07-28,SE1 6FA,2016
795000,2016-07-28,SE1 6FF,2016
550000,2016-07-27,SE1 6FA,2016
520000,2016-08-02,SE1 6FB,2016
334912,2016-07-29,SE1 6FA,2016
534750,2016-08-03,SE1 6FB,2016
450000,2016-08-03,SE1 6FD,2016
438000,2016-08-04,SE1 6FB,2016
185000,2016-07-19,E15 3FA,2016
467500,2016-03-24,N11 1JY,2016
505000,2016-02-29,TW3 3AA,2016
405000,2016-03-30,EN3 4BA,2016
355000,2016-03-31,EN3 4BA,2016
395000,2016-03-17,SW16 4HA,2016
555000,2016-03-31,SW17 9QY,2016
580000,2016-04-15,KT3 6EY,2016
725000,2016-04-07,SW19 3EN,2016
418000,2016-04-18,E4 9BN,2016
410000,2016-01-22,CR4 2AB,2016
600000,2016-03-24,IG4 5DA,2016
815000,2016-07-01,BR2 7DG,2016
879950,2016-07-15,N14 7HP,2016
473000,2016-05-27,BR3 3QP,2016
495000,2016-07-19,BR4 0BH,2016
520000,2016-07-06,HA8 6JL,2016
620000,2016-07-01,HA0 3QH,2016
845000,2016-07-08,SW20 9AT,2016
408000,2016-07-05,DA16 3NG,2016
760000,2016-06-10,IG8 0NU,2016
532600,2016-07-15,KT3 5JT,2016
485000,2016-06-30,N17 6RU,2016
610000,2016-06-01,SM4 4HH,2016
515000,2016-07-12,N17 6TB,2016
530000,2016-07-01,HA0 3QJ,2016
525000,2016-05-31,SM4 4HH,2016
320000,2016-07-08,DA15 9EZ,2016
547000,2016-07-14,HA9 8TQ,2016
648500,2016-06-30,SM5 3HW,2016
877500,2016-07-15,TW12 2JJ,2016
370000,2016-07-08,KT9 1EF,2016
385000,2016-07-06,IG6 2NH,2016
784000,2016-07-22,KT4 7PD,2016
830000,2016-05-20,BR2 7DD,2016
275000,2016-07-22,DA7 6NT,2016
312500,2016-06-14,DA17 5DN,2016
430000,2016-07-01,HA8 5BH,2016
285000,2016-07-20,DA17 6DP,2016
350000,2016-07-14,DA15 8EP,2016
435000,2016-06-30,HA4 9AD,2016
395000,2016-07-15,KT2 7BS,2016
