LSOA21CD,Formatted_Ward
E01000114,Barking and Dagenham - Whalebone
E01000232,Barnet - Edgware
E01000402,Bexley - Erith
E01000126,Barnet - Colindale North
E01000113,Barking and Dagenham - Whalebone
E01000234,Barnet - Edgware
E01000412,Bexley - Falconwood & Welling
E01000152,Barnet - Colindale North
E01000271,Barnet - Barnet Vale
E01000190,Barnet - Edgware
E01000388,Bexley - Falconwood & Welling
E01000410,Bexley - Falconwood & Welling
E01000392,Bexley - Falconwood & Welling
E01000411,Bexley - Falconwood & Welling
E01000409,Bexley - Falconwood & Welling
E01000391,Bexley - Falconwood & Welling
E01000393,Bexley - Falconwood & Welling
E01000415,Bexley - Falconwood & Welling
E01000414,Bexley - Falconwood & Welling
E01000423,Bexley - Longlands
E01000424,Bexley - Longlands
E01000428,Bexley - Longlands
E01000425,Bexley - Longlands
E01000427,Bexley - Longlands
E01000158,Barnet - Friern Barnet
E01000318,Barnet - Woodhouse
E01000268,Barnet - Barnet Vale
E01000227,Barnet - Edgware
E01000323,Barnet - Woodhouse
E01000162,Barnet - Friern Barnet
E01000247,Barnet - Barnet Vale
E01000153,Barnet - Colindale North
E01000195,Barnet - Edgwarebury
E01000325,Bexley - Barnehurst
E01000165,Barnet - Friern Barnet
E01000251,Barnet - Barnet Vale
E01033917,Barnet - Colindale South
E01000186,Barnet - Edgwarebury
E01000369,Bexley - Barnehurst
E01000159,Barnet - Friern Barnet
E01000288,Barnet - Barnet Vale
E01000147,Barnet - Colindale South
E01000229,Barnet - Edgwarebury
E01000371,Bexley - Barnehurst
E01000156,Barnet - Friern Barnet
E01000246,Barnet - Barnet Vale
E01033920,Barnet - Colindale South
E01000231,Barnet - Edgwarebury
E01000368,Bexley - Barnehurst
E01000157,Barnet - Friern Barnet
E01000267,Barnet - Barnet Vale
E01033919,Barnet - Colindale South
E01000230,Barnet - Edgwarebury
E01000326,Bexley - Barnehurst
E01000161,Barnet - Friern Barnet
E01000252,Barnet - Barnet Vale
E01033921,Barnet - Colindale South
E01000188,Barnet - Edgwarebury
E01000370,Bexley - Barnehurst
E01000206,Barnet - Garden Suburb
E01000270,Barnet - Barnet Vale
E01033915,Barnet - Colindale South
E01033925,Barnet - Colindale South
E01033922,Barnet - Colindale South
E01033918,Barnet - Colindale South
E01033924,Barnet - Colindale South
E01033923,Barnet - Colindale South
E01000223,Barnet - Cricklewood
