pub_name_ward,longitude,latitude
Real Ale Way - Hayes and Coney Hall,0.0131248661834561,51.37586896035383
Pie & Pint Bar - Hayes and Coney Hall,0.0084847781602946,51.37557986454952
George - Hayes and Coney Hall,0.0199039068940902,51.379367814287534
Crooked Billet - Bromley Common and Keston,0.0584089124501722,51.38934635578069
Chequers - Bickley,0.0467821105785281,51.38972995716179
Two Doves - Bromley Common and Keston,0.0412542954284826,51.37179354495253
Bird in Hand - Bromley Common and Keston,0.0442631702273843,51.37385465046774
Bricklayers Arms - Bromley Town,0.0272170128223979,51.395250659212586
Crown of Bromley - Bromley Town,0.0269664951761933,51.39478731059805
Chatterton Arms - Bromley Common and Keston,0.0366366419443722,51.39239809788691
Crown - Bromley Common and Keston,0.0361825298670555,51.38994165575818
George Inn - Copers Cope,-0.0260982176398052,51.40647702203658
White Horse - Copers Cope,-0.0286116806583211,51.40588077804349
Kelsey House - Copers Cope,-0.0243653294784969,51.40697845102758
O'Neill's - Copers Cope,-0.0235402876980949,51.41010338334113
Patrick's Bar - Copers Cope,-0.0235402876980949,51.41010338334113
Bricklayers Arms - Copers Cope,-0.0302122201634078,51.40611455546696
Slug & Lettuce - Copers Cope,-0.0254757470074254,51.40724000296133
Eden Park - Kelsey and Eden Park,-0.0253347134887685,51.38915100815641
Coach & Horses - Kelsey and Eden Park,-0.0247372527498065,51.40568960989483
Club Langley - Kelsey and Eden Park,-0.0208968045115197,51.38805981203122
Elm Tree - Clock House,-0.0435324828391792,51.39827028647005
Chancery - Copers Cope,-0.0164093756861007,51.40639433582788
Jolly Woodman - Copers Cope,-0.0170556504588754,51.40608149714292
Railway Hotel - West Wickham,-0.0115563878214744,51.37969922361342
Wheatsheaf - West Wickham,-0.0195219439419985,51.37629058068045
Swan - West Wickham,-0.0145358114008377,51.37561257512144
Coney - Hayes and Coney Hall,0.0036146000547903,51.36969131371426
Sovereign of the Seas - Petts Wood and Knoll,0.0734433277551362,51.38898227913842
One Inn The Wood - Petts Wood and Knoll,0.075539350341731,51.38955675132832
Daylight Inn - Petts Wood and Knoll,0.0767844722648184,51.38848238814635
Bull Inn - Cray Valley East,0.1193187496519979,51.40337918221182
White Swan - Cray Valley East,0.1139657993894699,51.38583862049756
Beech Tree - Cray Valley East,0.1128440708801168,51.38426691503172
Cricketers - Petts Wood and Knoll,0.10202568473757,51.38092689939258
White Hart - Petts Wood and Knoll,0.1041076043729982,51.37900077437545
Harvest Moon - Orpington,0.1030097489242933,51.37731162514024
Maxwell - Orpington,0.0962428032801526,51.37200952863262
Royal Oak - Chelsfield and Pratts Bottom,0.0907705319740998,51.35093538129413
Queen's Head - Chelsfield and Pratts Bottom,0.0908372320392028,51.35240022027035
Rose & Crown - Darwin,0.0898119851025753,51.34975628231271
Chelsfield - Chelsfield and Pratts Bottom,0.1069234189671929,51.35581746890152
Woodman - Farnborough and Crofton,0.0715719193722789,51.35868763965581
Change of Horses - Farnborough and Crofton,0.0693161083290529,51.35899733969604
Bulls Head - Chelsfield and Pratts Bottom,0.1133742420103266,51.33961082296727
Bo Peep - Chelsfield and Pratts Bottom,0.1391203633964415,51.34976536999182
Five Bells - Chelsfield and Pratts Bottom,0.1290923465865715,51.356522803866405
Queen's Head - Darwin,0.0554636359509659,51.336126674774896
George & Dragon - Darwin,0.0553140065688692,51.33567060597587
Whyte Lyon (Ye Olde) - Farnborough and Crofton,0.0588270992609457,51.36343635913838
British Queen - Farnborough and Crofton,0.0561337378772295,51.36617287607937
Black Horse - Farnborough and Crofton,0.0583151040823389,51.3677175028892
Buff - Chelsfield and Pratts Bottom,0.0882743270100575,51.358265093657785
Queens Head - Chislehurst,0.0694766015737357,51.4176621845578
Gordon Arms - Chislehurst,0.0702231002464613,51.4185843665651
Imperial Arms - Chislehurst,0.0624071512969587,51.40824427176035
Rambler's Rest - Chislehurst,0.0635690793933494,51.40817884291488
Bickley - Chislehurst,0.0574254475547572,51.40715365353225
Tigers Head - Chislehurst,0.070608135931566,51.40896304158773
Crown Inn - Chislehurst,0.0745581194497343,51.41012533834553
Bull's Head Hotel - Chislehurst,0.076973610608665,51.41106288427042
Sydney Arms - Chislehurst,0.0882930109351751,51.41454920275529
Man on the Moon - New Addington North,-0.0164641783787574,51.351613543780736
Keg & Grill - South Croydon,-0.0971629405979888,51.36636227368397
Joker - South Croydon,-0.097142572618908,51.3651207979905
Obia Bar & Grill - South Croydon,-0.097142572618908,51.3651207979905
Surrey Cricketers - Fairfield,-0.0990060880247377,51.36765133375529
Apatura Lounge Restaurant - Fairfield,-0.0975880941918493,51.36650408673627
Scream Lounge - Fairfield,-0.0977109519798093,51.36596645400432
Treehouse - Fairfield,-0.0976704538141621,51.365210316861365
Skylark - Fairfield,-0.0976704538141621,51.365210316861365
Matthews Yard - Fairfield,-0.0995164278483404,51.371634872541
Milan Bar - Fairfield,-0.0992089695899328,51.37246630638823
Slug & Lettuce - Fairfield,-0.0957271458706001,51.37326416500585
George - Fairfield,-0.0969917855082984,51.37360849369561
Cronx - Fairfield,-0.0930989851038864,51.37426469042389
Beatbox - Fairfield,-0.0930989851038864,51.37426469042389
Green Dragon - Fairfield,-0.098958372818176,51.37053756795165
Memory Box - Fairfield,-0.098958372818176,51.37053756795165
Crown & Pepper - Fairfield,-0.0982867152452016,51.36836815415396
South Beats - Fairfield,-0.0978762392816999,51.3675250658095
Spreadeagle - Fairfield,-0.0976619905634286,51.37200049721405
Ship - Fairfield,-0.098486997500045,51.37151024035866
Dog & Bull - Fairfield,-0.0999907354103684,51.37232609517295
Market Tavern - Fairfield,-0.0999907354103684,51.37232609517295
Art & Craft CR0 - Fairfield,-0.0992695472696248,51.37204458117182
Mr Fox - Fairfield,-0.0992695472696248,51.37204458117182
